Stations_ID, Mess_Datum, Qualitaets_Niveau, BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE, WINDGESCHWINDIGKEIT, LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
     3015,20121011,   3,   5.0,   91.46,   9.2,    7.1, 1001.81,   2.5,    2.7,    4.6,   12.1,   6.4,   6,   0.0,    2.383,   0,eor
     3015,20121012,   3,   4.5,   83.92,   8.7,    7.6,  998.27,   3.2,    0.7,    1.8,   13.0,   8.1,   6,   2.3,    7.433,   0,eor
     3015,20121013,   3,   3.7,   78.71,   9.3,    9.6,  998.58,   3.7,    5.1,    6.5,   13.8,   9.4,   6,   0.0,    9.383,   0,eor
     3015,20121014,   3,   6.4,   71.42,   8.4,    9.6,  990.92,   3.7,    5.7,    7.1,   13.2,  13.3,   0,   0.0,    5.883,   0,eor
     3015,20121015,   3,   6.7,   80.83,   9.6,    9.5,  991.06,   3.7,    2.8,    4.9,   13.0,  11.7,   6,   0.1,    0.000,   0,eor
     3015,20121016,   3,   3.3,   79.17,   8.1,    7.6,  998.43,   2.7,    0.8,    2.8,   13.5,   8.0,   6,   0.0,    8.500,   0,eor
     3015,20121017,   3,   4.6,   76.96,   9.3,    9.9, 1001.35,   2.9,    1.4,    4.6,   14.7,   8.4,   0,   0.0,    7.767,   0,eor
     3015,20121018,   3,   3.2,   74.08,  11.2,   13.4, 1002.36,   2.8,    6.5,    8.6,   20.4,   8.6,   0,   0.0,    8.500,   0,eor
     3015,20121019,   3,   0.9,   77.54,  12.6,   14.4, 1003.28,   2.6,    5.6,    9.1,   21.4,   7.2,   0,   0.0,    9.300,   0,eor
     3015,20121020,   3,   2.2,   83.50,  13.0,   13.7, 1004.86,   2.2,    6.1,    8.6,   20.5,   5.0,   0,   0.0,    8.350,   0,eor
     3015,20121021,   3,   3.0,   88.00,  14.1,   14.1, 1006.95,   2.0,    6.5,    9.0,   20.1,   7.1,   6,   0.0,    8.283,   0,eor
     3015,20121022,   3,   8.0,   93.46,  13.0,   11.9, 1011.75,   2.2,   11.0,   11.1,   12.7,   7.1,   6,   0.1,    0.000,   0,eor
     3015,20121023,   3,   7.7,   89.54,  12.1,   11.5, 1013.40,   1.5,    7.6,    9.7,   13.0,   4.8,   6,   0.0,    0.000,   0,eor
     3015,20121024,   3,   7.5,   86.67,  11.2,   10.8, 1007.51,   1.4,    7.3,    8.7,   13.3,   3.9,   6,   0.0,    0.517,   0,eor
     3015,20121025,   3,   7.2,   86.50,  10.3,    9.5,  998.05,   4.4,    5.1,    6.3,   12.0,  12.0,   6,   2.5,    1.550,   0,eor
     3015,20121026,   3,   4.9,   62.29,   4.9,    3.6,  997.83,   2.7,   -1.4,    0.6,    7.0,  11.6,   0,   0.0,    7.633,   0,eor
     3015,20121027,   3,   7.9,   73.25,   5.2,    2.1,  990.82,   2.4,   -0.2,    0.7,    3.7,   7.6,   6,   0.0,    0.000,   0,eor
     3015,20121028,   3,   3.4,   82.08,   5.5,    1.5, 1000.20,   2.0,   -5.2,   -2.6,    7.3,   6.0,   0,   0.0,    5.167,   0,eor
     3015,20121029,   3,   3.6,   88.46,   5.6,    0.6, 1001.61,   2.1,   -5.9,   -3.4,    6.4,   7.2,   8,   0.0,    8.617,   0,eor
     3015,20121030,   3,   7.8,   96.67,   7.2,    2.5,  991.09,   3.2,   -0.6,   -0.4,    4.9,   8.0,   8,   0.8,    0.000,   0,eor
     3015,20121031,   3,   4.3,   88.08,   7.4,    4.5,  991.76,   2.6,   -1.4,   -0.1,   10.1,   7.5,   0,   0.0,    6.817,   0,eor
     3015,20121101,   3,   7.2,   90.54,   7.8,    4.8,  980.48,   3.8,    0.8,    1.7,    6.3,  11.2,   6,   7.2,    0.000,   0,eor
     3015,20121102,   3,   4.3,   78.33,   7.8,    7.0,  986.90,   4.2,    1.8,    4.1,   10.2,  15.6,   6,   2.3,    4.867,   0,eor
     3015,20121103,   3,   6.8,   86.63,   8.9,    7.4,  989.16,   4.1,    4.0,    5.4,    9.6,  10.3,   6,   2.2,    1.283,   0,eor
     3015,20121104,   3,   7.4,   86.92,   9.0,    7.5,  990.50,   3.1,    3.4,    5.8,   10.3,   8.6,   6,   3.8,    1.500,   0,eor
     3015,20121105,   3,   7.1,   84.96,   8.9,    7.7,  986.20,   5.0,    4.4,    5.5,   10.2,  16.2,   6,   1.4,    0.633,   0,eor
     3015,20121106,   3,   6.7,   79.54,   7.1,    5.4,  997.45,   5.6,    2.6,    4.0,    7.2,  12.9,   6,   0.6,    2.367,   0,eor
